date,open,high,low,close,volume
2026-02-27,67490.5,68223.07,64942.87,65859.94,10276.79604611
2026-02-28,65859.93,67761.55,63019.6,66967.85,9093.24916408
2026-03-01,66971.54,68200.0,65008.38,65769.0,8511.88788603
2026-03-02,65771.56,70128.74,65250.12,68832.01,17772.46881037
2026-03-03,68832.0,69255.36,66138.2,68335.99,12823.7275946
2026-03-04,68335.99,74100.0,67391.17,72683.26,21142.77079177
2026-03-05,72683.26,73588.24,70639.01,70887.6,10891.71826063
2026-03-06,70887.61,71428.4,67725.14,68108.24,11045.21439575
2026-03-07,68108.23,68544.79,66921.33,67259.62,3245.05107908
2026-03-08,67259.62,68201.16,65618.51,65970.56,5505.17926548
2026-03-09,65970.56,69543.0,65820.93,68432.17,13303.95615379
2026-03-10,68432.16,71800.0,68383.5,69960.83,13322.43399947
2026-03-11,69960.83,71358.48,68980.74,70208.0,9851.72870494
2026-03-12,70208.03,70819.84,69180.01,70531.56,9708.42046678
2026-03-13,70530.02,73968.0,70398.01,70944.33,12304.21633821
2026-03-14,70944.32,71316.0,70236.02,71232.02,3174.08339322
2026-03-15,71232.01,73220.8,70868.41,72830.01,5785.61944649
2026-03-16,72830.01,74913.69,72276.24,74886.47,12657.43153702
2026-03-17,74886.46,76022.6,73400.01,73934.11,11357.85437394
2026-03-18,73934.11,74700.0,70474.83,71245.02,9248.1145105
2026-03-19,71245.01,71628.0,68772.78,69918.3,7794.02546506
2026-03-20,69917.19,71384.62,69360.0,70497.01,7315.89355875
2026-03-21,70497.01,71075.92,68562.13,68912.02,2856.70812643
2026-03-22,68912.02,69577.0,67332.05,67844.94,4889.89870785
2026-03-23,67844.94,71811.0,67425.0,70874.23,10354.71705596
2026-03-24,70874.22,71389.0,68889.0,70533.49,7238.74499869
2026-03-25,70533.48,72030.29,70357.1,71301.53,7665.36824144
2026-03-26,71301.52,71414.33,68102.36,68769.02,8225.19395173
2026-03-27,68769.02,69128.75,65498.75,66353.34,13681.42559929
2026-03-28,66353.33,67249.65,65876.61,66320.15,4011.39625322
