date,open,high,low,close,volume,daily_return,log_return,diff_close
2026-02-27,67490.5,68223.07,64942.87,65859.94,10276.79604611,,,
2026-02-28,65859.93,67761.55,63019.6,66967.85,9093.24916408,1.6822213928527674,0.016682287555064818,1107.9100000000035
2026-03-01,66971.54,68200.0,65008.38,65769.0,8511.88788603,-1.7901873809596736,-0.018064050782347314,-1198.8500000000058
2026-03-02,65771.56,70128.74,65250.12,68832.01,17772.46881037,4.657224528273196,0.04552029566943559,3063.0099999999948
2026-03-03,68832.0,69255.36,66138.2,68335.99,12823.7275946,-0.7206240236192318,-0.0072323306032261786,-496.0199999999895
2026-03-04,68335.99,74100.0,67391.17,72683.26,21142.77079177,6.36161120955443,0.06167452891390647,4347.2699999999895
2026-03-05,72683.26,73588.24,70639.01,70887.6,10891.71826063,-2.4705276015412503,-0.025015572652156228,-1795.659999999989
2026-03-06,70887.61,71428.4,67725.14,68108.24,11045.21439575,-3.920798559973815,-0.039997319657791366,-2779.3600000000006
2026-03-07,68108.23,68544.79,66921.33,67259.62,3245.05107908,-1.2459872696754637,-0.012538147788656499,-848.6200000000099
2026-03-08,67259.62,68201.16,65618.51,65970.56,5505.17926548,-1.9165436854980733,-0.01935147467291103,-1289.0599999999977
2026-03-09,65970.56,69543.0,65820.93,68432.17,13303.95615379,3.731376541293563,0.03663445379363816,2461.6100000000006
2026-03-10,68432.16,71800.0,68383.5,69960.83,13322.43399947,2.2338324212136,0.022092478302890028,1528.6600000000035
2026-03-11,69960.83,71358.48,68980.74,70208.0,9851.72870494,0.353297695296062,0.0035267506504981605,247.16999999999825
2026-03-12,70208.03,70819.84,69180.01,70531.56,9708.42046678,0.4608591613491253,0.004598004570272099,323.5599999999977
2026-03-13,70530.02,73968.0,70398.01,70944.33,12304.21633821,0.5852273790626583,0.0058352157562023286,412.7700000000041
2026-03-14,70944.32,71316.0,70236.02,71232.02,3174.08339322,0.4055151412382107,0.004046951446487208,287.6900000000023
2026-03-15,71232.01,73220.8,70868.41,72830.01,5785.61944649,2.2433590960918792,0.022185659110142718,1597.9899999999907
2026-03-16,72830.01,74913.69,72276.24,74886.47,12657.43153702,2.823643715001567,0.027845137815307525,2056.4600000000064
2026-03-17,74886.46,76022.6,73400.01,73934.11,11357.85437394,-1.2717384061500026,-0.012798942198773733,-952.3600000000006
2026-03-18,73934.11,74700.0,70474.83,71245.02,9248.1145105,-3.6371439380280535,-0.037049369183236217,-2689.0899999999965
2026-03-19,71245.01,71628.0,68772.78,69918.3,7794.02546506,-1.8621933154064685,-0.018797504418608984,-1326.7200000000012
2026-03-20,69917.19,71384.62,69360.0,70497.01,7315.89355875,0.8276946092796722,0.00824288002076056,578.7099999999919
2026-03-21,70497.01,71075.92,68562.13,68912.02,2856.70812643,-2.248308119734421,-0.022739679034391003,-1584.9899999999907
2026-03-22,68912.02,69577.0,67332.05,67844.94,4889.89870785,-1.5484671614618195,-0.015605811308184104,-1067.0800000000017
2026-03-23,67844.94,71811.0,67425.0,70874.23,10354.71705596,4.465019793664782,0.04368209056262606,3029.2899999999936
2026-03-24,70874.22,71389.0,68889.0,70533.49,7238.74499869,-0.4807671279109304,-0.004819265305778763,-340.7399999999907
2026-03-25,70533.48,72030.29,70357.1,71301.53,7665.36824144,1.0889011730455866,0.010830153329952559,768.0399999999936
2026-03-26,71301.52,71414.33,68102.36,68769.02,8225.19395173,-3.551831215964085,-0.03616443298521998,-2532.5099999999948
2026-03-27,68769.02,69128.75,65498.75,66353.34,13681.42559929,-3.512744546890456,-0.03575925420830109,-2415.6800000000076
2026-03-28,66353.33,67249.65,65876.61,66320.15,4011.39625322,-0.0500200894182567,-0.0005003260363824048,-33.19000000000233
